ArEn-transliteration-attentive_lstm-frankenstein,ArEn-transliteration-attentive_lstm-frankenstein-sweep,67xoy4sa
ArEn-transliteration-transformer-frankenstein,ArEn-transliteration-transformer-frankenstein-sweep,aa1q2kep
EnBa-transliteration-attentive_lstm-frankenstein,EnBa-transliteration-attentive_lstm-frankenstein-sweep,9kg3109r
EnBa-transliteration-transformer-frankenstein,EnBa-transliteration-transformer-frankenstein-sweep,ft6df7kq
EnHi-transliteration-attentive_lstm-frankenstein,EnHi-transliteration-attentive_lstm-frankenstein-sweep,hd2sot1o
EnHi-transliteration-transformer-frankenstein,EnHi-transliteration-transformer-frankenstein-sweep,tawc5o1y
EnJa-transliteration-attentive_lstm-frankenstein,EnJa-transliteration-attentive_lstm-frankenstein-sweep,liw16jdr
EnJa-transliteration-transformer-frankenstein,EnJa-transliteration-transformer-frankenstein-sweep,vr5x0sp5
EnKa-transliteration-attentive_lstm-frankenstein,EnKa-transliteration-attentive_lstm-frankenstein-sweep,a9q1ftkm
EnKa-transliteration-transformer-frankenstein,EnKa-transliteration-transformer-frankenstein-sweep,77o7bobe
EnKo-transliteration-attentive_lstm-frankenstein,EnKo-transliteration-attentive_lstm-frankenstein-sweep,ozz2ns5r
EnKo-transliteration-transformer-frankenstein,EnKo-transliteration-transformer-frankenstein-sweep,qjluebol
EnPe-transliteration-attentive_lstm-frankenstein,EnPe-transliteration-attentive_lstm-frankenstein-sweep,xci3pilh
EnPe-transliteration-transformer-frankenstein,EnPe-transliteration-transformer-frankenstein-sweep,uy2i5qj9
EnTa-transliteration-attentive_lstm-frankenstein,EnTa-transliteration-attentive_lstm-frankenstein-sweep,qnwcx1hr
EnTa-transliteration-transformer-frankenstein,EnTa-transliteration-transformer-frankenstein-sweep,1b3ss5j1
EnTh-transliteration-attentive_lstm-frankenstein,EnTh-transliteration-attentive_lstm-frankenstein-sweep,u6z5gtep
EnTh-transliteration-transformer-frankenstein,EnTh-transliteration-transformer-frankenstein-sweep,gk2emieh
JnJk-transliteration-attentive_lstm-frankenstein,JnJk-transliteration-attentive_lstm-frankenstein-sweep,18yk25oz
JnJk-transliteration-transformer-frankenstein,JnJk-transliteration-transformer-frankenstein-sweep,8apf6rrt
ThEn-transliteration-attentive_lstm-frankenstein,ThEn-transliteration-attentive_lstm-frankenstein-sweep,wdqyusxe
ThEn-transliteration-transformer-frankenstein,ThEn-transliteration-transformer-frankenstein-sweep,z1zcp5vz
